tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
IV-6,-0.0000,151.52,0.09520,0.15897,-95.44,0.039403,-95.44,-2.3773
IV-6,-0.0037,151.89,0.09544,0.15937,-95.45,0.039501,-95.45,-2.3892
IV-6,-0.0075,152.28,0.09568,0.15976,-95.47,0.039600,-95.47,-2.4011
IV-6,-0.0112,152.66,0.09592,0.16016,-95.48,0.039699,-95.48,-2.4131
IV-6,-0.0150,153.05,0.09616,0.16056,-95.49,0.039798,-95.49,-2.4252
IV-6,-0.0187,153.43,0.09640,0.16097,-95.51,0.039898,-95.51,-2.4373
IV-6,-0.0225,153.82,0.09665,0.16137,-95.52,0.039998,-95.52,-2.4496
IV-6,-0.0262,154.21,0.09690,0.16178,-95.53,0.040099,-95.53,-2.4620
IV-6,-0.0300,154.61,0.09714,0.16219,-95.55,0.040200,-95.55,-2.4744
IV-6,-0.0338,155.00,0.09739,0.16260,-95.56,0.040302,-95.56,-2.4870
IV-6,-0.0375,155.40,0.09764,0.16301,-95.58,0.040404,-95.58,-2.4997
IV-6,-0.0413,155.80,0.09789,0.16342,-95.59,0.040507,-95.59,-2.5124
IV-6,-0.0450,156.20,0.09814,0.16384,-95.61,0.040611,-95.61,-2.5252
IV-6,-0.0488,156.60,0.09840,0.16426,-95.62,0.040715,-95.62,-2.5382
IV-6,-0.0525,157.01,0.09865,0.16468,-95.63,0.040819,-95.63,-2.5512
IV-6,-0.0563,157.42,0.09891,0.16511,-95.65,0.040924,-95.65,-2.5644
IV-6,-0.0600,157.83,0.09917,0.16553,-95.66,0.041030,-95.66,-2.5776
IV-6,-0.0638,158.24,0.09943,0.16596,-95.68,0.041136,-95.68,-2.5910
IV-6,-0.0675,158.65,0.09969,0.16639,-95.69,0.041242,-95.69,-2.6044
IV-6,-0.0712,159.07,0.09995,0.16682,-95.71,0.041349,-95.71,-2.6180
IV-6,-0.0750,159.49,0.10021,0.16726,-95.72,0.041457,-95.72,-2.6316
IV-6,-0.0788,159.91,0.10047,0.16769,-95.74,0.041566,-95.74,-2.6454
IV-6,-0.0825,160.33,0.10074,0.16813,-95.75,0.041674,-95.75,-2.6593
IV-6,-0.0862,160.76,0.10101,0.16857,-95.77,0.041784,-95.77,-2.6732
IV-6,-0.0900,161.19,0.10128,0.16902,-95.78,0.041894,-95.78,-2.6873
IV-6,-0.0938,161.62,0.10155,0.16946,-95.80,0.042004,-95.80,-2.7015
IV-6,-0.0975,162.05,0.10182,0.16991,-95.81,0.042116,-95.81,-2.7159
IV-6,-0.1013,162.48,0.10209,0.17036,-95.83,0.042227,-95.83,-2.7303
IV-6,-0.1050,162.92,0.10237,0.17082,-95.84,0.042340,-95.84,-2.7448
IV-6,-0.1087,163.36,0.10264,0.17127,-95.86,0.042453,-95.86,-2.7595
IV-6,-0.1125,163.80,0.10292,0.17173,-95.88,0.042566,-95.88,-2.7743
IV-6,-0.1163,164.24,0.10320,0.17219,-95.89,0.042680,-95.89,-2.7892
IV-6,-0.1200,164.69,0.10348,0.17265,-95.91,0.042795,-95.91,-2.8042
IV-6,-0.1237,165.14,0.10376,0.17312,-95.92,0.042910,-95.92,-2.8193
IV-6,-0.1275,165.59,0.10404,0.17359,-95.94,0.043026,-95.94,-2.8346
IV-6,-0.1313,166.04,0.10433,0.17406,-95.96,0.043143,-95.96,-2.8500
IV-6,-0.1350,166.50,0.10462,0.17453,-95.97,0.043260,-95.97,-2.8655
IV-6,-0.1388,166.96,0.10490,0.17501,-95.99,0.043378,-95.99,-2.8811
IV-6,-0.1425,167.42,0.10519,0.17548,-96.01,0.043497,-96.01,-2.8969
IV-6,-0.1462,167.88,0.10548,0.17597,-96.02,0.043616,-96.02,-2.9128
IV-6,-0.1500,168.35,0.10578,0.17645,-96.04,0.043736,-96.04,-2.9288
IV-6,-0.1537,168.82,0.10607,0.17693,-96.05,0.043856,-96.05,-2.9450
IV-6,-0.1575,169.29,0.10637,0.17742,-96.07,0.043977,-96.07,-2.9613
IV-6,-0.1613,169.76,0.10667,0.17792,-96.09,0.044099,-96.09,-2.9777
IV-6,-0.1650,170.24,0.10697,0.17841,-96.11,0.044221,-96.11,-2.9943
IV-6,-0.1688,170.72,0.10727,0.17891,-96.12,0.044345,-96.12,-3.0110
IV-6,-0.1725,171.20,0.10757,0.17941,-96.14,0.044468,-96.14,-3.0278
IV-6,-0.1762,171.69,0.10788,0.17991,-96.16,0.044593,-96.16,-3.0448
IV-6,-0.1800,172.18,0.10818,0.18041,-96.17,0.044718,-96.17,-3.0619
IV-6,-0.1837,172.67,0.10849,0.18092,-96.19,0.044844,-96.19,-3.0792
IV-6,-0.1875,173.16,0.10880,0.18143,-96.21,0.044971,-96.21,-3.0966
IV-6,-0.1913,173.66,0.10911,0.18195,-96.23,0.045098,-96.23,-3.1141
IV-6,-0.1950,174.16,0.10943,0.18246,-96.24,0.045226,-96.24,-3.1319
IV-6,-0.1988,174.66,0.10974,0.18298,-96.26,0.045355,-96.26,-3.1497
IV-6,-0.2025,175.16,0.11006,0.18350,-96.28,0.045484,-96.28,-3.1677
IV-6,-0.2062,175.67,0.11038,0.18403,-96.30,0.045615,-96.30,-3.1859
IV-6,-0.2100,176.18,0.11070,0.18456,-96.32,0.045746,-96.32,-3.2042
IV-6,-0.2137,176.69,0.11102,0.18509,-96.34,0.045877,-96.34,-3.2227
IV-6,-0.2175,177.21,0.11134,0.18562,-96.35,0.046010,-96.35,-3.2414
IV-6,-0.2213,177.73,0.11167,0.18616,-96.37,0.046143,-96.37,-3.2602
IV-6,-0.2250,178.25,0.11200,0.18670,-96.39,0.046277,-96.39,-3.2791
IV-6,-0.2288,178.78,0.11233,0.18725,-96.41,0.046412,-96.41,-3.2983
IV-6,-0.2325,179.31,0.11266,0.18779,-96.43,0.046548,-96.43,-3.3176
IV-6,-0.2362,179.84,0.11300,0.18834,-96.45,0.046684,-96.45,-3.3370
