v_preset,t_ramp,T_peak,T_final,T_overshoot,t_95target,t_settle_5K,t_settle_10K,v_ctl_final,R_final
0.85,0.03,774.445742,774.015157,-25.554258000000004,nan,3.57592774,2.99806371,-0.542932298,96.1148991
0.85,0.06,774.390035,774.004596,-25.60996499999999,nan,3.61259678,3.03674004,-0.54252197,96.1133253
0.85,0.1,777.730359,774.185543,-22.26964099999998,0.0996815778,3.49354147,2.90345569,-0.542978837,96.1402892
0.85,0.15,874.831113,774.475109,74.83111299999996,0.0996815778,3.27276643,2.66027261,-0.543461113,96.1834418
0.95,0.03,774.455974,774.013225,-25.54402600000003,nan,3.56879177,2.99093081,-0.543032146,96.1146112
0.95,0.06,774.398813,773.962152,-25.60118699999998,nan,3.60034965,3.02654138,-0.542901266,96.1070008
0.95,0.1,846.24033,774.201206,46.24032999999997,0.080324149,3.43856091,2.84645246,-0.543469577,96.1426234
0.95,0.15,941.066236,774.540612,141.066236,0.080324149,3.1587824,2.54020755,-0.543963613,96.1932038
1.0,0.03,774.460597,774.032146,-25.539402999999993,nan,3.56779607,2.98890524,-0.542941885,96.1174306
1.0,0.06,774.412597,773.960416,-25.587402999999995,nan,3.59016575,3.01735823,-0.543032912,96.1067421
1.0,0.1,878.324948,774.222997,78.32494799999995,0.0741463059,3.407025,2.81388489,-0.543639327,96.1458706
1.0,0.15,971.466077,774.584836,171.46607700000004,0.0741463059,3.09671135,2.47406985,-0.54413307,96.1997945
