op_amp,ilc11_7_p1_full,ilc11_7_p1_post,ilc11_7_p3_full,ilc11_7_p3_post,ilc11_8_p1_full,ilc11_8_p1_post,ilc11_8_p3_full,ilc11_8_p3_post,iv3_p1_full,iv3_p1_post,iv3_p3_full,iv3_p3_post,iv6_p1_full,iv6_p1_post,iv6_p3_full,iv6_p3_post,global_full_mA,global_post_mA,Ilim_mA,verdict
osc,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,0.3313,65.0,OK
ap,0.3842,0.3842,0.3401,0.3401,0.9817,0.9817,0.8875,0.8875,0.9940,0.9940,0.8527,0.8527,0.9928,0.9928,0.8985,0.8985,0.9940,0.9940,65.0,OK
diff,0.1808,0.1808,0.1803,0.1803,0.0609,0.0609,0.0602,0.0602,0.0257,0.0257,0.0236,0.0236,0.0500,0.0500,0.0484,0.0484,0.1808,0.1808,65.0,OK
cmp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0,OK
dem,2.2400,2.2400,2.4303,2.4303,1.0258,1.0258,1.0756,1.0756,0.8803,0.8803,0.5666,0.5666,1.0751,1.0751,0.9524,0.9524,2.4303,2.4303,50.0,OK
int,45.3717,45.3717,45.6758,45.6758,1.0469,1.0469,1.1073,1.1073,0.9760,0.8986,0.9760,0.5833,1.0952,1.0952,0.9781,0.9781,45.6758,45.6758,50.0,OK
aw_diff,0.0314,0.0314,0.0314,0.0314,0.0171,0.0171,0.0171,0.0171,0.0070,0.0070,0.0070,0.0070,0.0139,0.0139,0.0139,0.0139,0.0314,0.0314,50.0,OK
inv,0.0646,0.0646,0.0646,0.0646,0.0347,0.0347,0.0348,0.0348,0.0146,0.0146,0.0145,0.0145,0.0284,0.0284,0.0284,0.0284,0.0646,0.0646,65.0,OK
buf0,0.9887,0.9887,0.5303,0.5303,1.1350,1.1350,1.0017,1.0017,1.1195,1.1195,0.9995,0.9995,1.0995,1.0995,1.0003,1.0003,1.1350,1.1350,65.0,OK
buf_osc,9.2849,9.2849,7.5907,7.5907,37.9215,7.5587,37.9218,7.5716,37.8698,3.6883,37.8749,3.6897,37.8958,3.9841,37.8958,3.9902,37.9218,9.2849,65.0,OK
buf_ap,7.5615,7.5615,8.9372,8.9372,44.6181,44.6181,11.0853,11.0853,3.6879,3.6879,3.6893,3.6893,6.1473,6.1473,4.3807,4.3807,44.6181,44.6181,65.0,OK
