v_preset,t_ramp,T_peak,T_final,T_overshoot,t_95target,t_settle_5K,t_settle_10K,v_ctl_final,R_final
0.0,0.0,774.299143,773.8361,-25.700857000000042,nan,3.64712029,3.08247302,-0.54292771,96.088218
0.3,0.05,774.411466,773.954366,-25.58853399999998,nan,3.59016313,3.01737212,-0.543062443,96.1058406
0.3,0.15,774.553986,774.154788,-25.44601399999999,nan,3.51795827,2.92991103,-0.542877619,96.1357063
0.3,0.3,774.508929,774.147697,-25.491071000000034,nan,3.55054603,2.96350587,-0.542532661,96.1346495
0.45,0.05,774.465507,774.051929,-25.534492999999998,nan,3.56779166,2.98688422,-0.542843612,96.1203786
0.45,0.15,774.594609,774.236466,-25.40539100000001,nan,3.49866412,2.90450836,-0.542641448,96.1478779
0.45,0.3,774.770412,774.427218,-25.229588000000035,nan,3.37759369,2.76817721,-0.542806878,96.1763045
0.55,0.05,774.515479,774.12842,-25.484520999999972,nan,3.54339397,2.95737702,-0.54272958,96.1317769
0.55,0.15,774.627159,774.283772,-25.372840999999994,nan,3.48035951,2.88313192,-0.542582581,96.1549274
0.55,0.3,774.959838,774.638726,-25.04016200000001,nan,3.21991614,2.59319107,-0.542927252,96.2078262
0.65,0.05,774.489202,774.132501,-25.510798000000023,nan,3.56276437,2.9767452,-0.542467146,96.1323851
0.65,0.15,774.689705,774.35329,-25.310294999999996,nan,3.43864415,2.83533145,-0.542629252,96.1652873
0.65,0.3,819.855175,774.851148,19.85517500000003,0.200573464,3.00932703,2.36328174,-0.543035353,96.2394857
0.75,0.05,774.420442,774.07238,-25.57955800000002,nan,3.60244559,3.0215012,-0.542297311,96.1234261
0.75,0.15,801.101676,774.42125,1.1016759999999977,0.133358434,3.36944057,2.76003588,-0.542922162,96.1754151
0.75,0.3,882.244854,775.038649,82.24485400000003,0.133358434,2.71630423,2.05195258,-0.543295917,96.2674323
