tube,gain,t_settle_2K_s,T_end_K,T_pk_K,V_int_op_V,V1_mV,H2_pct,H3_pct
iv18,1.0,2.6319928,798.7936415538422,799.001204,-0.8056985699812449,734.2420680353467,13.541943264845969,4.953174517214245
iv18,2.0,0.294719453,799.3622105594441,819.254936,-0.8111158597691104,733.6304563755343,13.030301329141949,4.974000094209267
iv18,3.0,0.295209956,799.5518377696385,821.67547,-0.8150520868577932,732.7253637421503,12.598306179135385,4.959285313660654
iv18,5.0,0.295715888,799.7057959903672,821.15895,-0.8224173303537874,730.969000937382,11.771452395998342,4.897141519326669
iv18,7.5,0.29568245,799.7778078173853,822.988449,-0.8301763366098004,728.9942159746638,10.770496765272561,4.7740747938042505
iv18,10.0,0.295691452,799.8204476120684,821.929262,-0.8375277139147889,727.8569666575443,9.831193226007576,4.604024751342834
iv6,1.0,0.227871016,799.3453190151071,821.003546,-0.7100993070908725,914.8475679144899,15.657434366892431,2.5514829683502454
iv6,2.0,0.226488965,799.607803554993,847.352268,-0.7127740431166782,914.8671329334818,15.45988307313631,2.5462488569537385
iv6,3.0,0.226452988,799.6975529100112,846.483784,-0.7148104291097653,915.0094765256916,15.260529676028384,2.5791807924741508
iv6,5.0,0.226460957,799.7731061188446,841.203369,-0.7190108829124873,915.6659360925388,14.852227038751225,2.5882391476391993
iv6,7.5,0.226448513,799.810160218239,834.779156,-0.7236142748096055,916.4512981250102,14.28558209846971,2.572813686108871
iv6,10.0,0.22645455,799.8244804013068,829.865788,-0.727831645954608,917.4186698111763,13.749225543591367,2.553583582564375
ilc11_7,1.0,0.121963577,800.7051756623148,818.00074,-0.2507891508441612,6184.615973711476,5.624767236077166,7.272990081701923
ilc11_7,2.0,0.116074292,800.7266729021567,814.542428,-0.2499924476445005,6185.459406298025,5.648920168527768,7.277414011961154
ilc11_7,3.0,0.115702279,800.7414837643593,811.996594,-0.2492552970661987,6183.728452058369,5.680565866377559,7.284837205567732
ilc11_7,5.0,0.115682458,800.7512780478925,808.993794,-0.2479520719062171,6184.055430537588,5.735265742175657,7.296190456661615
ilc11_7,7.5,0.115679247,800.7605337991348,807.0586,-0.24589773714134572,6184.5476249066905,5.800993367708467,7.309127550343744
ilc11_7,10.0,0.115536704,800.7630295082577,806.016555,-0.24409596910543976,6187.490217897665,5.861508940250966,7.320927127386
ilc11_8,1.0,0.202360378,799.48902931065,834.940229,-0.6706900370218979,1150.2062342637826,14.790933214878391,1.9302746600651361
ilc11_8,2.0,0.200352099,799.708751725825,849.50497,-0.673288733678907,1150.4231992194111,14.626434565722654,1.949627830656055
ilc11_8,3.0,0.200400308,799.7852600728229,846.160331,-0.6755146724938607,1150.747474983314,14.447797138962127,1.9649131996674598
ilc11_8,5.0,0.200382819,799.8454337529296,838.347946,-0.6796462932288865,1151.6432090989103,14.0731741928283,1.9906452869429312
ilc11_8,7.5,0.200392798,799.869678667739,831.089513,-0.6842855134178539,1152.9232858230157,13.585156102601301,2.020551866488646
ilc11_8,10.0,0.200387618,799.8901068226978,826.19125,-0.6894938119408229,1154.3443033603135,13.082226750159451,2.050603671493285
iv18,1.2,1.83633515,798.9850071068636,799.192882,-0.8070489883548145,734.1813306232646,13.422063085024934,4.963278133234668
iv18,1.5,0.333857185,799.1717497639589,802.755919,-0.8086839602197324,734.0013151166729,13.266353896811673,4.972184933401149
iv18,1.7,0.29271108,799.263745092573,816.035863,-0.8097123549896658,733.8749974810413,13.167566350130969,4.973905420489596
iv6,15.0,0.226451297,799.8421233155282,823.198005,-0.7360355702500142,920.2789725939693,12.597695454660018,2.5239740469163476
iv6,20.0,0.226456249,799.8488375337594,819.036657,-0.7423750787644764,923.83629325604,11.357000920308707,2.508186757830642
iv6,30.0,0.22645168,799.8632108370034,814.161947,-0.7507161506096707,936.6260947545816,8.680494790420767,2.454402625498713
ilc11_7,15.0,0.115683915,800.7645066699105,805.489534,-0.23976973989430095,6185.2936983871,6.00070255684243,7.353025660525494
ilc11_7,20.0,0.115660776,800.7652367550899,805.321804,-0.23578377705429174,6189.785293383422,6.123441522509757,7.378853787550037
ilc11_7,30.0,0.115538913,800.7693748695975,804.96092,-0.2267015947646278,6186.585241969983,6.400145180896779,7.448267443903239
ilc11_8,15.0,0.200392185,799.906049529091,819.985988,-0.6974394024143182,1157.8116131213908,12.02527657610031,2.1098129957930545
ilc11_8,20.0,0.200392492,799.9120759619625,816.238169,-0.7054932559156992,1162.382922127825,10.895437025396136,2.173721673861094
ilc11_8,30.0,0.200385199,799.9200283081382,811.890545,-0.7135909457486536,1174.125455659219,8.492497857519938,2.312194539473499
