trial,label,vos_ap,vos_diff,vos_dem,vos_int,T_peak,T_final,T_overshoot,t_95target,t_settle_5K,t_settle_10K,v_ctl_final,R_final
0,vNNNN,-0.0015,-0.0015,-0.0015,-0.0015,810.198215,809.208035,10.198215000000005,0.254332023,0.421898532,0.358836446,-0.601785674,101.382636
1,vNNNP,-0.0015,-0.0015,-0.0015,0.0015,840.382514,839.27126,40.382514000000015,0.215644028,0.522655679,0.414811444,-0.661475201,105.919075
2,vNNPN,-0.0015,-0.0015,0.0015,-0.0015,745.391957,731.3472,-54.60804299999995,nan,0.799356793,0.604118605,-0.458115204,89.7924207
3,vNNPP,-0.0015,-0.0015,0.0015,0.0015,778.312743,774.595713,-21.687257000000045,0.377350564,0.331416635,0.302935592,-0.527662273,96.2014157
4,vNPNN,-0.0015,0.0015,-0.0015,-0.0015,810.834615,810.658214,10.834614999999985,0.250276161,0.429213292,0.359031609,-0.584828261,101.6007
5,vNPNP,-0.0015,0.0015,-0.0015,0.0015,841.12876,840.965758,41.12876000000006,0.212637969,0.553427975,0.423134146,-0.628069196,106.175748
6,vNPPN,-0.0015,0.0015,0.0015,-0.0015,746.519549,731.330418,-53.480451000000016,nan,0.821111551,0.622746524,-0.456312242,89.7899482
7,vNPPP,-0.0015,0.0015,0.0015,0.0015,779.193845,775.130722,-20.80615499999999,0.359212991,0.324401121,0.296953706,-0.539311737,96.2811561
8,vPNNN,0.0015,-0.0015,-0.0015,-0.0015,810.154815,809.159644,10.154814999999985,0.254331896,0.420906622,0.357869945,-0.603471499,101.375361
9,vPNNP,0.0015,-0.0015,-0.0015,0.0015,840.273932,839.228517,40.273931999999945,0.215652682,0.524677556,0.414844515,-0.660751192,105.912602
10,vPNPN,0.0015,-0.0015,0.0015,-0.0015,745.562471,731.599388,-54.43752900000004,nan,0.796304895,0.601091324,-0.461436866,89.8295773
11,vPNPP,0.0015,-0.0015,0.0015,0.0015,778.360373,774.660213,-21.63962700000002,0.376333315,0.331410975,0.302935071,-0.52938347,96.2110285
12,vPPNN,0.0015,0.0015,-0.0015,-0.0015,810.788837,810.654755,10.788836999999944,0.250283196,0.430214288,0.360011002,-0.585283125,101.60018
13,vPPNP,0.0015,0.0015,-0.0015,0.0015,841.017595,840.824658,41.01759500000003,0.212651088,0.551392874,0.42213159,-0.633470648,106.154371
14,vPPPN,0.0015,0.0015,0.0015,-0.0015,746.679685,731.572742,-53.32031500000005,nan,0.8180687,0.620709467,-0.456827412,89.8256512
15,vPPPP,0.0015,0.0015,0.0015,0.0015,779.235379,775.181095,-20.764621000000034,0.359185358,0.324398645,0.29695666,-0.540620308,96.2886645
