alpha,peak_V,thd_fraction
1.000000000000000000e+00,1.884888406666042515e+00,5.348482792877562453e-02
9.000000000000000222e-01,1.977027770015355790e+00,3.023703235868469008e-02
8.000000000000000444e-01,2.247480531140169990e+00,3.002186324239136325e-02
6.999999999999999556e-01,2.597323748398894239e+00,2.987446429221142161e-02
5.999999999999999778e-01,3.065084778251818687e+00,2.967458637853727724e-02
5.000000000000000000e-01,3.689391071284230161e+00,2.895617856074523405e-02
4.000000000000000222e-01,4.454991183892066609e+00,2.270611697664794842e-02
3.499999999999999778e-01,4.841925691429245227e+00,1.689835780664549272e-02
2.999999999999999889e-01,4.750830357202586285e+00,1.246634044454718836e-02
2.500000000000000000e-01,3.844601445425345432e+00,1.449093795180512491e-02
2.000000000000000111e-01,3.159218349099719436e+00,1.698051974312171988e-02
