alpha,peak_V,thd_fraction
2.500000000000000000e-01,3.844601445425345432e+00,1.449093795180512491e-02
2.600000000000000089e-01,4.010617310886697595e+00,1.402607986819258759e-02
2.700000000000000178e-01,4.187751917889043440e+00,1.356313063433025115e-02
2.800000000000000266e-01,4.375287261805950401e+00,1.310053118308285997e-02
2.899999999999999800e-01,4.569135130039351900e+00,1.269036834797350292e-02
2.999999999999999889e-01,4.750830357202586285e+00,1.246634044454718836e-02
3.099999999999999978e-01,4.880485378881415315e+00,1.265923688974013653e-02
3.200000000000000067e-01,4.936112219081503660e+00,1.337218681157884004e-02
3.300000000000000155e-01,4.934349261433696121e+00,1.444317662653445133e-02
3.400000000000000244e-01,4.898005279970676362e+00,1.559655460061379860e-02
3.499999999999999778e-01,4.841925691429245227e+00,1.689835780664549272e-02
