fc_Hz,amp_raw_V,thd_raw,amp_filt_V,thd_filt
5.000000000000000000e+02,4.768078684992601346e+00,1.246501721788416221e-02,1.157469155140277373e+00,1.396886352799922050e-03
6.000000000000000000e+02,4.768078685055295196e+00,1.246501722769485961e-02,1.616400731677351876e+00,1.439806092432054487e-03
7.000000000000000000e+02,4.768078685055295196e+00,1.246501722769485961e-02,2.099626718646868895e+00,1.507679627114330567e-03
8.000000000000000000e+02,4.768078685055295196e+00,1.246501722769485961e-02,2.571979263914993652e+00,1.605901089476188034e-03
9.000000000000000000e+02,4.768078685055295196e+00,1.246501722769485961e-02,3.002829180809453380e+00,1.738296654968024112e-03
1.000000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,3.373094706450828539e+00,1.906385093243691004e-03
1.100000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,3.676720534003467655e+00,2.110353558109298935e-03
1.200000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,3.917518493958784820e+00,2.348476546786690093e-03
1.300000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.104469690636758372e+00,2.618339909755420646e-03
1.400000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.247997308282397633e+00,2.917054816643739699e-03
1.500000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.357746907174017359e+00,3.241156933527250539e-03
1.650000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.476150308531288147e+00,3.767160360378587949e-03
1.800000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.556324406347543210e+00,4.329729096086148629e-03
2.000000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.625914235972831356e+00,5.114042883371554792e-03
2.500000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.708247162273221598e+00,7.060493838700864118e-03
3.000000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.738914432166694723e+00,8.704465677638339310e-03
4.000000000000000000e+03,4.768078684618993535e+00,1.246501718957086433e-02,4.758757922559704312e+00,1.071957725420166763e-02
5.000000000000000000e+03,4.768078683774118254e+00,1.246501717929564962e-02,4.764224992060419162e+00,1.160625557570506283e-02
7.000000000000000000e+03,4.768078685055295196e+00,1.246501722769485961e-02,4.767038604841148164e+00,1.219785083580138089e-02
1.000000000000000000e+04,4.768078685049323084e+00,1.246501722717724414e-02,4.767792140735936712e+00,1.239148562781982633e-02
