T_C,f0_Hz,amp_osc_V,thd_osc,amp_filt_V,thd_filt
-4.000000000000000000e+01,9.937678962438942563e+02,5.118768323276468024e+00,2.548559573861978317e-02,4.638831850618292840e+00,6.698349025715324978e-04
-2.500000000000000000e+01,9.940692815743358324e+02,5.055043876540689318e+00,2.283104113730029250e-02,4.579934123119009826e+00,6.098251796347194630e-04
-1.000000000000000000e+01,9.944043686374975550e+02,4.986024576402447117e+00,1.994779108398162318e-02,4.516309566428522437e+00,5.412559032225600390e-04
0.000000000000000000e+00,9.946390640277822968e+02,4.935541910810534283e+00,1.790570922216667277e-02,4.469910000785635162e+00,4.927020646595390348e-04
1.000000000000000000e+01,9.948067714304984293e+02,4.878913299900063727e+00,1.581424096376949154e-02,4.418019953771842090e+00,4.421536023173803045e-04
2.500000000000000000e+01,9.950080949811118671e+02,4.760647410646218880e+00,1.295340850292581343e-02,4.310263987881102210e+00,3.657442696307609017e-04
4.000000000000000000e+01,9.950416568286843813e+02,4.394610043657893428e+00,1.257003802580787359e-02,3.978789876321360719e+00,3.530066858253750077e-04
5.500000000000000000e+01,9.950080949811118671e+02,3.978574515768448006e+00,1.276894782914330187e-02,3.602148056292582723e+00,3.592822196576016714e-04
7.000000000000000000e+01,9.950080949811118671e+02,3.579710859240771814e+00,1.292919984127211160e-02,3.241042406319408098e+00,3.646576706130830246e-04
8.500000000000000000e+01,9.950080949811118671e+02,3.195636483075301904e+00,1.303138983615744449e-02,2.893315100628128356e+00,3.683661639683663536e-04
1.000000000000000000e+02,9.950080949811118671e+02,2.823477261482613354e+00,1.305196169550113493e-02,2.556364084179342466e+00,3.696444038772568608e-04
1.250000000000000000e+02,9.950416568286839265e+02,2.220528311851739378e+00,1.279809850362227490e-02,2.010432502213487904e+00,3.632208319897952905e-04
